category,topic,level,word_es,translation_ru,source
Базовые слова,Календарь,A2,miércoles,среда,пользователь
Базовые слова,Календарь,A2,segundo,секунда,пользователь
Базовые слова,Календарь,A2,semana,неделя,пользователь
Базовые слова,Календарь,A2,siglo,век,пользователь
Базовые слова,Календарь,A2,sábado,суббота,пользователь
Базовые слова,Календарь,A2,viernes,пятница,пользователь
Базовые слова,Календарь,B1,días de la semana,дни недели,Claude (proespanol.ru)
Базовые слова,Календарь,A1,meses,месяцы,Claude (proespanol.ru)
Базовые слова,Календарь,A2,semanalmente,еженедельно,Claude (proespanol.ru)
Базовые слова,Месяцы и времена года,A1,abril,апрель,пользователь
Базовые слова,Месяцы и времена года,A1,agosto,август,пользователь
Базовые слова,Месяцы и времена года,A1,diciembre,декабрь,пользователь
Базовые слова,Месяцы и времена года,A1,enero,январь,пользователь
Базовые слова,Месяцы и времена года,A1,febrero,февраль,пользователь
Базовые слова,Месяцы и времена года,A1,invierno,зима,пользователь
Базовые слова,Месяцы и времена года,A1,julio,июль,пользователь
Базовые слова,Месяцы и времена года,A1,junio,июнь,пользователь
Базовые слова,Месяцы и времена года,A1,marzo,март,пользователь
Базовые слова,Месяцы и времена года,A1,mayo,май,пользователь
Базовые слова,Месяцы и времена года,A1,noviembre,ноябрь,пользователь
Базовые слова,Месяцы и времена года,A1,octubre,октябрь,пользователь
Базовые слова,Месяцы и времена года,A1,otoño,осень,пользователь
Базовые слова,Месяцы и времена года,A1,primavera,весна,пользователь
Базовые слова,Месяцы и времена года,A1,septiembre,сентябрь,пользователь
Базовые слова,Месяцы и времена года,A1,verano,лето,пользователь
Базовые слова,Цвета,A1,amarillo,жёлтый,пользователь
Базовые слова,Цвета,A1,azul,синий,пользователь
Базовые слова,Цвета,A1,blanco,белый,пользователь
Базовые слова,Цвета,A1,de color de rosa,розовый,Claude (proespanol.ru)
Базовые слова,Цвета,A1,el color,цвет,Claude (proespanol.ru)
Базовые слова,Цвета,A1,gris,серый,пользователь
Базовые слова,Цвета,A1,marrón,коричневый,пользователь
Базовые слова,Цвета,A1,morado,фиолетовый,пользователь
Базовые слова,Цвета,A1,naranja,оранжевый,пользователь
Базовые слова,Цвета,A1,negro,чёрный,пользователь
Базовые слова,Цвета,A1,oro,золотой,пользователь
Базовые слова,Цвета,A1,plata,серебряный,пользователь
Базовые слова,Цвета,A1,rojo,красный,пользователь
Базовые слова,Цвета,A1,rosa,розовый,пользователь
Базовые слова,Цвета,A1,verde,зелёный,пользователь
Базовые слова,Цвета,A2,azul marino,тёмно-синий,пользователь
Базовые слова,Цвета,A2,añil,цвет индиго,пользователь
Базовые слова,Цвета,A2,beis,бежевый,пользователь
Базовые слова,Цвета,A2,burdeos,бордовый,пользователь
Базовые слова,Цвета,A2,caqui,хаки,пользователь
Базовые слова,Цвета,A2,carmesí,малиновый,пользователь
Базовые слова,Цвета,A2,crema,кремовый,пользователь
Базовые слова,Цвета,A2,fucsia,фуксия,пользователь
Базовые слова,Цвета,A2,granate,гранатовый,пользователь
Базовые слова,Цвета,A2,lila,сиреневый,пользователь
Базовые слова,Цвета,A2,marfil,цвет слоновой кости,пользователь
Базовые слова,Цвета,A2,ocre,охра,пользователь
Базовые слова,Цвета,A2,pardo,бурый,пользователь
Базовые слова,Цвета,A2,púrpura,пурпурный,пользователь
Базовые слова,Цвета,A2,turquesa,бирюзовый,пользователь
Базовые слова,Цвета,A2,violeta,фиолетовый,пользователь
Базовые слова,Цвета,A1,"amarillo, -a",желтый,Claude (proespanol.ru)
Базовые слова,Цвета,A1,"blanco, -a",белый,Claude (proespanol.ru)
Базовые слова,Цвета,A1,"morado, -a",фиолетовый,Claude (proespanol.ru)
Базовые слова,Цвета,A1,"naranjado, -a",оранжевый,Claude (proespanol.ru)
Базовые слова,Цвета,A1,"negro, -a",черный,Claude (proespanol.ru)
Базовые слова,Цвета,A1,"rojo, -a",красный,Claude (proespanol.ru)
Глаголы,Базовые глаголы,A2,abrir,открывать,пользователь
Глаголы,Базовые глаголы,A2,acabar,заканчивать,пользователь
Глаголы,Базовые глаголы,A2,actuar,действовать,пользователь
Глаголы,Базовые глаголы,A2,apagar,выключать,пользователь
Глаголы,Базовые глаголы,A2,bajar,спускаться,пользователь
Глаголы,Базовые глаголы,A2,cerrar,закрывать,пользователь
Глаголы,Базовые глаголы,A2,conocer,"знать, быть знакомым",пользователь
Глаголы,Базовые глаголы,A2,dejar,оставлять,пользователь
Глаголы,Базовые глаголы,A2,distribuir,распределять,пользователь
Глаголы,Базовые глаголы,A2,empezar,начинать,пользователь
Глаголы,Базовые глаголы,A2,encender,включать,пользователь
Глаголы,Базовые глаголы,A2,enseñar,показывать,пользователь
Глаголы,Базовые глаголы,A2,esconder,прятать,пользователь
Глаголы,Базовые глаголы,A2,escuchar,слушать,пользователь
Глаголы,Базовые глаголы,A2,llevar,"выносить, уносить",пользователь
Глаголы,Базовые глаголы,A2,meter,класть внутрь,пользователь
Глаголы,Базовые глаголы,A2,olvidar,забывать,пользователь
Глаголы,Базовые глаголы,A2,oír,слышать,пользователь
Глаголы,Базовые глаголы,A2,parar,переставать (делать что-то),пользователь
Глаголы,Базовые глаголы,A2,recordar,"вспоминать, помнить",пользователь
Глаголы,Базовые глаголы,A2,sacar,"доставать, вынимать",пользователь
Глаголы,Базовые глаголы,A2,seguir,продолжать,пользователь
Глаголы,Базовые глаголы,A2,subir,подниматься,пользователь
Глаголы,Глаголы,A1,alimentar,кормить,Claude (proespanol.ru)
Глаголы,Глаголы,A1,amar,любить,Claude (proespanol.ru)
Глаголы,Глаголы,A1,aprender,учиться,Claude (proespanol.ru)
Глаголы,Глаголы,A1,ayudar,помогать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,bajar,спускаться,пользователь
Глаголы,Глаголы,A1,beber,пить,Claude (proespanol.ru)
Глаголы,Глаголы,A1,buscar,искать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,caer,падать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,caminar,"двигаться, передвигаться",Claude (proespanol.ru)
Глаголы,Глаголы,A1,cenar,ужинать,пользователь
Глаголы,Глаголы,A1,cocinar,готовить пищу,Claude (proespanol.ru)
Глаголы,Глаголы,A1,comenzar,начинать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,comer,"обедать, есть",пользователь
Глаголы,Глаголы,A1,construir,строить,Claude (proespanol.ru)
Глаголы,Глаголы,A1,correr,бегать,пользователь
Глаголы,Глаголы,A1,cortar,вырезать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,costar,"стоить, иметь цену",Claude (proespanol.ru)
Глаголы,Глаголы,A1,decir,сказать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,desayunar,завтракать,пользователь
Глаголы,Глаголы,A1,descansar,отдыхать,пользователь
Глаголы,Глаголы,A1,dormir,спать,пользователь
Глаголы,Глаголы,A1,encontrar,находить,Claude (proespanol.ru)
Глаголы,Глаголы,A1,entender,"понять, понимать",Claude (proespanol.ru)
Глаголы,Глаголы,A1,entrar,входить,пользователь
Глаголы,Глаголы,A1,enviar,"послать, отправить",Claude (proespanol.ru)
Глаголы,Глаголы,A1,escuchar música,слушать музыку,пользователь
Глаголы,Глаголы,A1,esperar,ждать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,estudiar,изучать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,freír,жарить,Claude (proespanol.ru)
Глаголы,Глаголы,A1,ganar,выиграть,Claude (proespanol.ru)
Глаголы,Глаголы,A1,gritar,кричать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,hablar,"говорить, разговаривать",Claude (proespanol.ru)
Глаголы,Глаголы,A1,hacer,делать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,huir,убегать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,invitar,приглашать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,ir,"идти, ходить",пользователь
Глаголы,Глаголы,A1,jugar,играть,пользователь
Глаголы,Глаголы,A1,leer,читать,пользователь
Глаголы,Глаголы,A1,levantar,поднимать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,limpiar,чистить,Claude (proespanol.ru)
Глаголы,Глаголы,A1,llamar por teléfono,звонить по телефону,Claude (proespanol.ru)
Глаголы,Глаголы,A1,llevar,"нести, носить",пользователь
Глаголы,Глаголы,A1,llorar,плакать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,llover,идет дождь,Claude (proespanol.ru)
Глаголы,Глаголы,A1,mirar,смотреть,Claude (proespanol.ru)
Глаголы,Глаголы,A1,morir,умереть,Claude (proespanol.ru)
Глаголы,Глаголы,A1,nadar,плавать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,oler,"нюхать, пахнуть",Claude (proespanol.ru)
Глаголы,Глаголы,A1,pasear,гулять,пользователь
Глаголы,Глаголы,A1,pensar,думать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,perder,терять,Claude (proespanol.ru)
Глаголы,Глаголы,A1,perdonar,прощать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,poner,поместить,Claude (proespanol.ru)
Глаголы,Глаголы,A1,preguntar,спрашивать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,preparar,"готовиться, собираться",Claude (proespanol.ru)
Глаголы,Глаголы,A1,querer,хотеть,Claude (proespanol.ru)
Глаголы,Глаголы,A1,responder,отвечать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,saber,знать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,salir,выходить,пользователь
Глаголы,Глаголы,A1,sentir,чувствовать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,ser,быть,Claude (proespanol.ru)
Глаголы,Глаголы,A1,subir,подниматься,пользователь
Глаголы,Глаголы,A1,tener,иметь,Claude (proespanol.ru)
Глаголы,Глаголы,A1,tocar,играть на инструменте,пользователь
Глаголы,Глаголы,A1,tomar,"брать, принимать",Claude (proespanol.ru)
Глаголы,Глаголы,A1,tomar café,пить кофе,пользователь
Глаголы,Глаголы,A1,trabajar,работать,пользователь
Глаголы,Глаголы,A1,traer,приносить,пользователь
Глаголы,Глаголы,A1,usar,использовать,Claude (proespanol.ru)
Глаголы,Глаголы,A1,venir,приходить,пользователь
Глаголы,Глаголы,A1,ver,видеть,Claude (proespanol.ru)
Глаголы,Глаголы,A1,ver la tele,смотреть телевизор,пользователь
Глаголы,Глаголы,A1,visitar,"посетить, навестить",Claude (proespanol.ru)
Глаголы,Глаголы,A1,vivir,жить,Claude (proespanol.ru)
Глаголы,Глаголы,A2,abrir,открывать,Claude (proespanol.ru)
Глаголы,Глаголы,A2,andar,ходить,пользователь
Глаголы,Глаголы,A2,bailar,танцевать,Claude (proespanol.ru)
Глаголы,Глаголы,A2,cantar,петь,Claude (proespanol.ru)
Глаголы,Глаголы,A2,cerrar,закрыть,Claude (proespanol.ru)
Глаголы,Глаголы,A2,comprar,покупать,Claude (proespanol.ru)
Глаголы,Глаголы,A2,conducir,"вести, управлять",Claude (proespanol.ru)
Глаголы,Глаголы,A2,conocer,"знать, быть знакомым",Claude (proespanol.ru)
Глаголы,Глаголы,A2,cruzar,"переходить, пересекать",пользователь
Глаголы,Глаголы,A2,dar,давать,Claude (proespanol.ru)
Глаголы,Глаголы,A2,dejar,оставлять,Claude (proespanol.ru)
Глаголы,Глаголы,A2,echarse,прилечь,пользователь
Глаголы,Глаголы,A2,enseñar,учить,Claude (proespanol.ru)
Глаголы,Глаголы,A2,escribir,писать,Claude (proespanol.ru)
Глаголы,Глаголы,A2,escuchar,слушать,Claude (proespanol.ru)
Глаголы,Глаголы,A2,gastar,тратить,Claude (proespanol.ru)
Глаголы,Глаголы,A2,girar,поворачивать,пользователь
Глаголы,Глаголы,A2,gustar,нравиться,Claude (proespanol.ru)
Глаголы,Глаголы,A2,irse,уходить,пользователь
Глаголы,Глаголы,A2,llegar,"приходить, прибывать",пользователь
Глаголы,Глаголы,A2,olvidar,забывать,Claude (proespanol.ru)
Глаголы,Глаголы,A2,pagar,платить,Claude (proespanol.ru)
Глаголы,Глаголы,A2,parar,останавливаться (где-то),пользователь
Глаголы,Глаголы,A2,pasar (por),"заходить, заезжать",пользователь
Глаголы,Глаголы,A2,quedarse,оставаться,пользователь
Глаголы,Глаголы,A2,recordar,"помнить, вспоминать",Claude (proespanol.ru)
Глаголы,Глаголы,A2,saltar,прыгать,пользователь
Глаголы,Глаголы,A2,sentarse,садиться,пользователь
Глаголы,Глаголы,A2,vender,продавать,Claude (proespanol.ru)
Глаголы,Глаголы,A2,viajar,путешествовать,пользователь
Глаголы,Глаголы,A2,"volver, devolver","вернуть, возвратить",Claude (proespanol.ru)
Глаголы,Глаголы,A2,volverse,оборачиваться,пользователь
Глаголы,Глаголы,B1,colgar,повесить,Claude (proespanol.ru)
Глаголы,Глаголы,B1,guardar,сохранять,Claude (proespanol.ru)
Глаголы,Глаголы,B1,lavar,мыть,Claude (proespanol.ru)
Глаголы,Глаголы,B1,partir,"делить, разделять",Claude (proespanol.ru)
Глаголы,Глаголы,B2,creer,верить,Claude (proespanol.ru)
Глаголы,Глаголы,C1,pasar,передвигаться,Claude (proespanol.ru)
Глаголы,Глаголы,A1,despertarse,"проснуться, разбутить",Claude (proespanol.ru)
Глаголы,Глаголы,A2,disculparse,извиняться,Claude (proespanol.ru)
Глаголы,Глаголы агрессии,B2,abusar,"насиловать, злоупотреблять",пользователь
Глаголы,Глаголы агрессии,B2,acosar,"преследовать, домогаться",пользователь
Глаголы,Глаголы агрессии,B2,agredir,нападать,пользователь
Глаголы,Глаголы агрессии,B2,asesinar,убивать,пользователь
Глаголы,Глаголы агрессии,B2,atracar,грабить,пользователь
Глаголы,Глаголы агрессии,B2,atropellar,сбить (машиной),пользователь
Глаголы,Глаголы агрессии,B2,chantajear,шантажировать,пользователь
Глаголы,Глаголы агрессии,B2,dar una paliza,избить до полусмерти,пользователь
Глаголы,Глаголы агрессии,B2,estrangular,душить,пользователь
Глаголы,Глаголы агрессии,B2,forzar,принуждать,пользователь
Глаголы,Глаголы агрессии,B2,insultar,оскорблять,пользователь
Глаголы,Глаголы агрессии,B2,intimidar,запугивать,пользователь
Глаголы,Глаголы агрессии,B2,maltratar,плохо обращаться,пользователь
Глаголы,Глаголы агрессии,B2,pegar,"бить, ударить",пользователь
Глаголы,Глаголы агрессии,B2,robar,красть,пользователь
Глаголы,Глаголы агрессии,B2,torturar,пытать,пользователь
Глаголы,Глаголы агрессии,B2,violar,насиловать,пользователь
Глаголы,Глаголы изменения,B1,ampliar,расширять,пользователь
Глаголы,Глаголы изменения,B1,aumentar,увеличивать(ся),пользователь
Глаголы,Глаголы изменения,B1,bajar,"падать, снижаться",пользователь
Глаголы,Глаголы изменения,B1,cambiar,"меняться, изменять",пользователь
Глаголы,Глаголы изменения,B1,desarrollar,развивать,пользователь
Глаголы,Глаголы изменения,B1,disminuir,"уменьшаться, снижаться",пользователь
Глаголы,Глаголы изменения,B1,dispararse,"резко расти, взлетать",пользователь
Глаголы,Глаголы изменения,B1,empeorar,ухудшать(ся),пользователь
Глаголы,Глаголы изменения,B1,estancarse,застаиваться,пользователь
Глаголы,Глаголы изменения,B1,mejorar,улучшать(ся),пользователь
Глаголы,Глаголы изменения,B1,normalizarse,стабилизироваться,пользователь
Глаголы,Глаголы изменения,B1,seguir igual,оставаться прежним,пользователь
Глаголы,Глаголы изменения,B1,subir,"расти, повышаться",пользователь
Глаголы,Глаголы изменения,B1,superar,превышать,пользователь
Глаголы,Глаголы одевания,B1,desnudarse,раздеваться,пользователь
Глаголы,Глаголы одевания,B1,destender,снимать (бельё с верёвки),пользователь
Глаголы,Глаголы одевания,B1,desvestir,раздевать (кого-то),пользователь
Глаголы,Глаголы одевания,B1,doblar,складывать,пользователь
Глаголы,Глаголы одевания,B1,estar vestido con,быть одетым в (что-то),пользователь
Глаголы,Глаголы одевания,B1,estar vestido de,быть одетым в (цвет),пользователь
Глаголы,Глаголы одевания,B1,estar vestido en,быть одетым только в,пользователь
Глаголы,Глаголы одевания,B1,lavar,стирать,пользователь
Глаголы,Глаголы одевания,B1,llevar,носить (одежду),пользователь
Глаголы,Глаголы одевания,B1,llevar al tinte,отдавать в химчистку,пользователь
Глаголы,Глаголы одевания,B1,planchar,гладить,пользователь
Глаголы,Глаголы одевания,B1,poner la lavadora,включать стиральную машину,пользователь
Глаголы,Глаголы одевания,B1,ponerse (prenda de ropa),надевать,пользователь
Глаголы,Глаголы одевания,B1,probarse,примерять,пользователь
Глаголы,Глаголы одевания,B1,quitarse,снимать (одежду),пользователь
Глаголы,Глаголы одевания,B1,tender,развешивать бельё,пользователь
Глаголы,Глаголы одевания,B1,vestir,"одевать, носить",пользователь
Глаголы,Глаголы одевания,B1,vestir de,одеваться в (цвет),пользователь
Глаголы,Глаголы отрицания,C1,contradecir,противоречить,пользователь
Глаголы,Глаголы отрицания,C1,declinar,вежливо отклонять,пользователь
Глаголы,Глаголы отрицания,C1,denegar,отклонять (просьбу),пользователь
Глаголы,Глаголы отрицания,C1,desaprobar,"осуждать, не одобрять",пользователь
Глаголы,Глаголы отрицания,C1,descartar,"отбрасывать, отвергать",пользователь
Глаголы,Глаголы отрицания,C1,desechar,"отвергать, избавляться",пользователь
Глаголы,Глаголы отрицания,C1,desestimar,отклонять (после рассмотрения),пользователь
Глаголы,Глаголы отрицания,C1,desmentir,опровергать,пользователь
Глаголы,Глаголы отрицания,C1,impugnar,оспаривать,пользователь
Глаголы,Глаголы отрицания,C1,negar,отрицать,пользователь
Глаголы,Глаголы отрицания,C1,objetar,возражать,пользователь
Глаголы,Глаголы отрицания,C1,oponerse (a),"противиться, быть против",пользователь
Глаголы,Глаголы отрицания,C1,pasar,"пасовать, отказаться",пользователь
Глаголы,Глаголы отрицания,C1,rechazar,"отвергать, отказывать",пользователь
Глаголы,Глаголы отрицания,C1,refutar,опровергать,пользователь
Глаголы,Глаголы отрицания,C1,rehusar,отказываться (от предложения),пользователь
Глаголы,Глаголы отрицания,C1,renegar (de),"отрекаться, отказываться",пользователь
Глаголы,Глаголы отрицания,C1,renunciar,"отказываться, отступаться",пользователь
Глаголы,Глаголы отрицания,C1,repudiar,"отвергать, осуждать",пользователь
Глаголы,Глаголы согласия,C1,aceptar,"принимать, соглашаться",пользователь
Глаголы,Глаголы согласия,C1,admitir,"допускать, признавать",пользователь
Глаголы,Глаголы согласия,C1,afirmar,"подтверждать, соглашаться",пользователь
Глаголы,Глаголы согласия,C1,aprobar,одобрять,пользователь
Глаголы,Глаголы согласия,C1,confirmar,подтверждать,пользователь
Глаголы,Глаголы согласия,C1,dar el visto bueno,"дать добро, одобрить",пользователь
Глаголы,Глаголы согласия,C1,dar la razón,признать правоту,пользователь
Глаголы,Глаголы согласия,C1,estar de acuerdo,быть согласным,пользователь
Глаголы,Глаголы согласия,C1,ratificar,ратифицировать,пользователь
Глаголы,Глаголы согласия,C1,reconocer,признавать,пользователь
Глаголы,Звуки животных,B2,arrullar,ворковать,пользователь
Глаголы,Звуки животных,B2,aullar,выть,пользователь
Глаголы,Звуки животных,B2,balar,блеять,пользователь
Глаголы,Звуки животных,B2,berrear,реветь,пользователь
Глаголы,Звуки животных,B2,bramar,"реветь, мычать",пользователь
Глаголы,Звуки животных,B2,bufar,"фыркать, шипеть",пользователь
Глаголы,Звуки животных,B2,cacarear,кудахтать,пользователь
Глаголы,Звуки животных,B2,chillar,визжать,пользователь
Глаголы,Звуки животных,B2,crotorar,клекотать (аист),пользователь
Глаголы,Звуки животных,B2,gorjear,щебетать,пользователь
Глаголы,Звуки животных,B2,graznar,"каркать, крякать",пользователь
Глаголы,Звуки животных,B2,gruñir,"рычать, хрюкать",пользователь
Глаголы,Звуки животных,B2,himplar,реветь (пантера),пользователь
Глаголы,Звуки животных,B2,ladrar,лаять,пользователь
Глаголы,Звуки животных,B2,maullar,мяукать,пользователь
Глаголы,Звуки животных,B2,piar,пищать (о птенцах),пользователь
Глаголы,Звуки животных,B2,rebuznar,реветь (об осле),пользователь
Глаголы,Звуки животных,B2,ronronear,мурлыкать,пользователь
Глаголы,Звуки животных,B2,rugir,"рычать, реветь",пользователь
Глаголы,Звуки животных,B2,ulular,ухать (сова),пользователь
Глаголы,Звуки животных,B2,zumbar,жужжать,пользователь
Глаголы,Разговорные глаголы,B2,cagarla,облажаться,пользователь
Глаголы,Разговорные глаголы,B2,cargarse,"сломать, угробить",пользователь
Глаголы,Разговорные глаголы,B2,catear,завалить (экзамен),пользователь
Глаголы,Разговорные глаголы,B2,charlar,болтать,пользователь
Глаголы,Разговорные глаголы,B2,chiflar,"быть без ума, нравиться до безумия",пользователь
Глаголы,Разговорные глаголы,B2,currar,"пахать, работать",пользователь
Глаголы,Разговорные глаголы,B2,dar corte,"смущаться, стесняться",пользователь
Глаголы,Разговорные глаголы,B2,echar un polvo,трахаться (груб.),пользователь
Глаголы,Разговорные глаголы,B2,empollar,зубрить,пользователь
Глаголы,Разговорные глаголы,B2,follar,трахаться (груб.),пользователь
Глаголы,Разговорные глаголы,B2,hacerse una paja,дрочить (груб.),пользователь
Глаголы,Разговорные глаголы,B2,largarse,"сваливать, смыться",пользователь
Глаголы,Разговорные глаголы,B2,liarla,устроить бардак,пользователь
Глаголы,Разговорные глаголы,B2,mangar,"стащить, спереть",пользователь
Глаголы,Разговорные глаголы,B2,meter la pata,"облажаться, сесть в лужу",пользователь
Глаголы,Разговорные глаголы,B2,molar,"быть классным, нравиться",пользователь
Глаголы,Разговорные глаголы,B2,palmarla,"откинуться, умереть",пользователь
Глаголы,Разговорные глаголы,B2,pegar,"подходить, сочетаться",пользователь
Глаголы,Разговорные глаголы,B2,pillar,"поймать, понять",пользователь
Глаголы,Разговорные глаголы,B2,sobar,"тискать, лапать",пользователь
Глаголы,Разговорные глаголы,B2,timar,"надуть, обмануть",пользователь
Глаголы,Разговорные глаголы,B2,zampar,"уплетать, трескать",пользователь
Грамматика,Вопросительные слова,A1,a qué hora,во сколько,пользователь
Грамматика,Вопросительные слова,A1,cuál,"какой, который",пользователь
Грамматика,Вопросительные слова,A1,cuándo,когда,пользователь
Грамматика,Вопросительные слова,A1,cuánto,сколько,пользователь
Грамматика,Вопросительные слова,A1,cómo,как,пользователь
Грамматика,Вопросительные слова,A1,dónde,где,пользователь
Грамматика,Вопросительные слова,A1,para qué,зачем,пользователь
Грамматика,Вопросительные слова,A1,por qué,почему,пользователь
Грамматика,Вопросительные слова,A1,quién,кто,пользователь
Грамматика,Вопросительные слова,A1,qué,"что, какой",пользователь
Грамматика,Наречия времени,A2,al día siguiente,на следующий день,пользователь
Грамматика,Наречия времени,A2,alguna vez,когда-нибудь,пользователь
Грамматика,Наречия времени,A2,anoche,вчера вечером,пользователь
Грамматика,Наречия времени,A2,de repente,"вдруг, внезапно",пользователь
Грамматика,Наречия времени,A2,de vez en cuando,время от времени,пользователь
Грамматика,Наречия времени,A2,el día anterior,накануне,пользователь
Грамматика,Наречия времени,A2,el otro día,на днях (недавно),пользователь
Грамматика,Наречия времени,A2,jamás,никогда,пользователь
Грамматика,Наречия времени,A2,próximamente,скоро,пользователь
Грамматика,Наречия времени,A2,seguidamente,"затем, после этого",пользователь
Грамматика,Наречия времени,A2,todo el día,весь день,пользователь
Грамматика,Наречия времени,A2,un día de estos,как-нибудь на днях,пользователь
Грамматика,Наречия времени,A2,una vez,"однажды, один раз",пользователь
Грамматика,Наречия времени,A2,últimamente,в последнее время,пользователь
